Gemeindename,Gemeindeschlüssel,Stand in der KWP
Albersdorf,1051001.0,Stand unbekannt
Arkebek,1051002.0,Stand unbekannt
Bargenstedt,1051004.0,Stand unbekannt
Barkenholm,1051005.0,Stand unbekannt
Barlt,1051006.0,Stand unbekannt
Bergewöhrden,1051008.0,Stand unbekannt
Büsumer Deichhausen,1051014.0,Stand unbekannt
Bunsoh,1051015.0,Stand unbekannt
Busenwurth,1051017.0,Stand unbekannt
Dellstedt,1051019.0,Stand unbekannt
Delve,1051020.0,Stand unbekannt
Dörpling,1051023.0,Stand unbekannt
Elpersbüttel,1051027.0,Stand unbekannt
Epenwöhrden,1051028.0,Stand unbekannt
Fedderingen,1051030.0,Stand unbekannt
Friedrichsgabekoog,1051033.0,Stand unbekannt
Friedrichskoog,1051034.0,Stand unbekannt
Gaushorn,1051035.0,Stand unbekannt
Glüsing,1051036.0,Stand unbekannt
Groven,1051038.0,Stand unbekannt
Gudendorf,1051039.0,Stand unbekannt
Hedwigenkoog,1051043.0,Stand unbekannt
Hellschen-Heringsand-Unterschaar,1051045.0,Stand unbekannt
Helse,1051046.0,Stand unbekannt
Hemme,1051047.0,Stand unbekannt
Hennstedt (Kreis Dithmarschen),1051049.0,Stand unbekannt
Hillgroven,1051050.0,Stand unbekannt
Hövede,1051052.0,Stand unbekannt
Hollingstedt (Kreis Dithmarschen),1051053.0,Stand unbekannt
Immenstedt (bei Albersdorf),1051054.0,Stand unbekannt
Karolinenkoog,1051058.0,Stand unbekannt
Kleve (Kreis Dithmarschen),1051060.0,Stand unbekannt
Krempel,1051061.0,Stand unbekannt
Kronprinzenkoog,1051062.0,Stand unbekannt
Krumstedt,1051063.0,Stand unbekannt
Lehe (Kreis Dithmarschen),1051065.0,Stand unbekannt
Linden (Kreis Dithmarschen),1051068.0,Stand unbekannt
Lunden,1051071.0,Stand unbekannt
Neufeld,1051076.0,Stand unbekannt
Nindorf (bei Meldorf),1051078.0,Stand unbekannt
Norddeich,1051079.0,Stand unbekannt
Norderheistedt,1051080.0,Stand unbekannt
Odderade,1051083.0,Stand unbekannt
Oesterdeichstrich,1051084.0,Stand unbekannt
Offenbüttel,1051085.0,Stand unbekannt
Osterrade,1051086.0,Stand unbekannt
Pahlen,1051088.0,Stand unbekannt
Rehm-Flehde-Bargen,1051092.0,Stand unbekannt
Reinsbüttel,1051093.0,Stand unbekannt
Sankt Annen,1051096.0,Stand unbekannt
Sarzbüttel,1051098.0,Stand unbekannt
Schafstedt,1051099.0,Stand unbekannt
Schalkholz,1051100.0,Stand unbekannt
Schlichting,1051102.0,Stand unbekannt
Schrum,1051104.0,Stand unbekannt
Schülp,1051105.0,Stand unbekannt
Strübbel,1051108.0,Stand unbekannt
Süderdeich,1051109.0,Stand unbekannt
Tellingstedt,1051114.0,Stand unbekannt
Tielenhemme,1051117.0,Stand unbekannt
Wallen,1051120.0,Stand unbekannt
Warwerort,1051121.0,Stand unbekannt
