,Adresse,latitude,longitude
0,Angermünder Str. 68 Eberswalde 16225,52.851499,13.7756818
1,Angermünder Str. 1 Eberswalde 16225,52.8410176,13.7353655
2,Düsseldorfer Straße 121 Hilden 40721,51.1621385,6.9099236
3,Max-Schaidhauf-Straße 25 Kempten (Allgäu) 87437,47.7059024,10.331155
4,Im Moore 1 Diepholz 49356,52.6168595,8.3103671
5,Zeppelinstraße 16 Geldern 47608,51.5239242,6.34352
6,Thoner Weg 23 Nürnberg 90425,49.4698019,11.0628659
7,Birkholzer Str. 101 GroÃbeeren 14979,,
8,Hullerser Landstrasse 43 Einbeck 37574,51.8160531,9.8437375
9,Schönfeldstraße 12a Rosenheim 83022,47.8558449,12.1351629
10,Stedtfelder Straße 5 Krauthausen 99819,51.0105049,10.2571166
11,Oberhausener Str. 33 Ratingen 40472,51.2749369,6.8216105
12,Eppelheimer Str. 82 Heidelberg 69123,49.4025587,8.6419164
13,Industriesztraße 10 Westerkappeln-Velpe 49492,,
14,Kölner Strasse 64 Gevelsberg 58285,51.315183,7.3397139
15,An de Kloßmanufaktur 1 Am Ettersberg 99439,,
16,Auf der Heide 1 Ettinghausen 56244,,
17,Robert-Bosch-Straße 15 Ramstein-Miesenbach 66877,49.4406978,7.5280057
18,Veilchenstraße 23 Zülpich 53909,50.7057184,6.6356944
19,Am Ahlmannkai Büdelsdorf 24782,54.3092762,9.6643073
20,Am Gusswerk 8 Kaiserslautern 67663,49.4322569,7.7455913
21,Rudolf-Wild-Straße 107-115 Eppelheim 69214,49.3908324,8.6329887
22,Berliner Straße 119 Nauen 14641,52.597012,12.8843487
23,Aindlinger Str. 17-19 Augsburg 86167,48.395277,10.9312525
24,Emil-Siepmann-Straße 32 Warstein 59581,51.4869204,8.3278852
25,Schwanebecker Weg 1a Nauen 14641,52.5964807,12.8476551
26,Böternhöfen 13 Hohenwestedt 24594,54.0797556,9.669234
27,Glindersweg 80 Hamburg 21029,53.4857786,10.2360022
28,Landgraf-Georg-Str. 100 Darmstadt 64287,49.8739094,8.6651328
29,Paul-Zipp-Str. 171 Gießen 35398,50.5925001,8.6491239
30,Appendorfer Weg 5 Osterweddingen 39171,52.0643429,11.5585496
31,Sohnreystrasse 21 Lauenförde 37697,51.6656238,9.3891603
32,Fendtstraße 1 Asbach-Bäumenheim 86663,48.675781,10.8146372
33,Hafenweg 1 Wiesbaden 65201,50.0408298,8.21174
34,Dieselstraße 1-7 Wölfersheim 61200,50.4235021,8.8515762
35,Greizer Straße 62 Schleiz 7907,50.5802331,11.8295083
36,John-Brinckman-Straße 8-10 Parchim 19370,53.4300054,11.8540303
37,Im Stiefelfeld 1 Niederzissen 56651,50.4408413,7.230264
38,Saalestr. 10 Ennepetal 58256,51.2932459,7.3259758
39,Am Alten Flugplatz 1 Ludwigslust 19288,53.2989533,11.5166937
40,Grosse Allee 84 Bad Arolsen 34454,51.379872,8.9994803
41,Concordiastraße 32 Oberhausen 46049,51.4741667,6.8450217
42,Häfnerschneise 0 Kelsterbach 65451,50.0270486,8.5069342
43,Aachener Straße / B221 Geilenkirchen 52511,50.9573453,6.130357
44,Am Hölzel 11 Landau 76829,49.2050785,8.1719353
45,Bahnhofstraße 18 Niemegk 14823,52.0826866,12.7000789
46,Hegenheimer Str. 22 Weil am Rhein 79576,47.6097123,7.5920199
47,Carl-Arnold-Straße 25 Forchtenberg-Ernsbach 74670,49.2895714,9.5104558
48,Max-Immelmann-Allee 25 Eschbach 79427,47.9043151,7.636591
49,An der Heide/Straße A-Mitte Spremberg 3130,,
50,Waldkraiburger Straße 5 Berlin 12347,52.4502014,13.4330549
51,Mühlenweg 32 b Erndtebrück 57339,50.9960133,8.2596851
52,Gartenstraße 7-17 Bonn 53229,50.7446225,7.1324409
53,ATP Allee 4 Amt Creuzburg 99831,51.0733017,10.2776757
54,ATP-Allee 10 Amt Creuzburg 99831,51.0716749,10.2853951
55,Alte Grube Velsen 16 Saarbrücken 66127,49.2143605,6.8338053
56,Geestemünder Str. 23 Köln 50735,51.0041039,6.9505938
57,Bahnhofstraße 82 Uetze 31311,52.4170181,10.1789629
58,Eginger Str. 40 Außernzell 94532,48.7245377,13.2088004
59,Dammer Straße 79 Bohmte-Hunteburg 49163,52.4396209,8.2724053
60,Borchersstraße 18 Aachen 52072,50.7886285,6.0645647
61,In der Krümme 8-12 Weiterstadt 64331,49.8978411,8.6152185
62,Knollstraße 50 Ludwigshafen 67061,49.4750518,8.4411553
63,Kempener Str. 22 Tönisvorst 47918,51.30966,6.4313593
64,Justus-von-Liebig-Straße 33 Neustadt am Rübenberge 31535,52.5114522,9.4694871
65,Klövenhausen 20 Bassum 27211,52.8207703,8.7004884
66,Hintere Marktstraße 4 Nürnberg 90441,49.4356059,11.0559544
67,Westring 10 Ennigerloh 59320,51.8515719,8.0182764
68,Am Trockenwerk - Hillerse 38543,52.4088084,10.3713993
69,Nordstraße 94 Kamenz 1917,51.299612,14.0902681
70,In der Mark 2 Rheda-Wiedenbrück 33378,51.8610952,8.3234884
71,St. Primus Str. 1-5 Siegsdorf 83313,47.8122577,12.6152019
72,Hardhofweg 40 Mosbach 74821,49.3470643,9.165658
73,Tonwerkstraße 3 Großheirath 96269,50.1809173,10.9530998
74,Märkerstraße 44 Alzenau 63755,50.0854449,9.0854511
75,Wallenroderstraße 12 - 14 Berlin 13435,52.6044507,13.3432759
76,Rähnitzer Allee 9 Dresden 1109,51.1269114,13.7423454
77,Am Kieswerk 7 Karlstein 63791,50.0508892,9.0307691
78,Herrenbergerstr 130 Böblingen 71034,48.677887,8.9801343
79,Benzstraße 19 Grünstadt 67269,49.5615739,8.1827136
80,Reherweg 57-59 Aerzen 31855,52.0385795,9.2530153
81,Am Aesculap-Platz Tuttlingen 78532,47.9812143,8.8020374
82,Elise-Averdieck-Strasse 17 Rotenburg 27356,53.10522,9.412896
83,Kanzlerstraße 17 Pforzheim 75175,48.8922374,8.7187427
84,Bahnhofstraße 35 Riegel 79359,48.1486721,7.757068
85,Aldrup 3 Wildeshausen 27793,52.8318813,8.4422664
86,Stau 199-203 Oldenburg 26122,53.1405489,8.2191922
87,Lindenstraße 45 Fürstenwalde/ Spree 15517,52.3530855,14.0861871
88,Alte Heerstraße E65 Dormagen 41540,51.0876905,6.8155332
89,Stader Elbstraße 25 Stade 21683,53.628425,9.5131003
90,Rechlinerstraße 1 Manching 85077,48.7089303,11.5097395
91,Haunstetter Str. 225 Augsburg 86179,48.3176365,10.9094975
92,Industriestr. 4 Donauwörth 86609,48.7074724,10.7727756
93,Flupplatzstraße Calden 34379,,
94,Kreetslag 10 Hamburg 21129,53.5373072,9.8483151
95,Werkstr 1 Dillingen 66763,49.355597,6.7325219
96,Düsseldorfer Str. 96-100 Hilden 40721,51.1642042,6.9130584
97,Hubertus-Liebrecht-Str. 21 Biberach an der Riß 88400,48.1216268,9.8015431
98,Bergratherstr. 66 Eschweiler 52249,50.8136199,6.273362
99,Am Anschlag 4 Halver 58553,51.1648625,7.4807121
100,Süntelstraße 11a Hamburg 22457,53.6308503,9.9047575
101,Eckenbergstraße 16b Essen 45307,51.463914,7.0704732
102,Schönthaler Str. 55-59 Langerwehe 52379,50.7928826,6.3413803
103,Alfred-Ritter-Straße 25  Waldenbuch 71111,48.6384286,9.1234257
104,Steinzeugstraße 50 Mannheim 68229,49.4481765,8.5673432
105,Möllner Landstraße 15 Witzhave 22969,53.5663163,10.3306836
106,Alt-Fechenheim 34 Frankfurt am Main 60386,50.1285878,8.767147
107,Ursulasrieder Straße 2 Kempten 87437,47.7485332,10.3231556
108,Rotlaymühle Bad Kreuznach 55545,,
109,Kasteler Str. 45 Wiesbaden 65203,50.047631,8.2421634
110,Salegaster Chaussee 1 Bitterfeld-Wolfen 6803,51.6598069,12.2975279
111,Giulinistr.2 Ludwigshafen 67065,49.4537757,8.4285881
112,"Haberstr. 9,  Berlin 12057",52.4628724,13.4626941
113,Lehen 24 Pfaffing 83539,48.0249709,12.1124464
114,Von Miller Straße 11 Kaiserslautern 67661,49.4405565,7.6610092
115,Siegstraße 27 Netphen 57250,50.9129646,8.0469605
116,Alte Leipziger Platz 1 Oberursel 61440,50.2119351,8.5746812
117,Remsaer Straße 17-19 Altenburg 4600,51.0019828,12.4595329
118,Wartenberger Chaussee 12 Bismark 39629,52.6565143,11.5458762
119,Bahnhofstraße 48 Treuchtlingen 91757,48.958515,10.9092949
120,Ebertallee 209 Dessau-Roßlau 6846,51.8439946,12.2038521
121,Bahnhofstraße 43 Redwitz 96257,,
122,Johann-Rathje-Köser-Straße 1 Stade-Bützfleth 21683,53.6490394,9.4913542
123,Friedrichstraße 50 Rheinfelden 79618,47.5674084,7.7993295
124,Uelzener Weg 36 Unna 59425,51.5393772,7.7055466
