Firmenname,Adresse,Wärmemenge pro Jahr (in kWh/a)
3M Deutschland GmbH Werk Hilden,Düsseldorfer Straße 121 Hilden 40721,31046025.0
A & L Tierfrischmehl Produktions GmbH,Im Moore 1 Diepholz 49356,110216164.0
A E R O -Verpackungsgesellschaft m.b.H.,Zeppelinstraße 16 Geldern 47608,287000.0
A. Kayser Automotive Systems GmbH,Hullerser Landstrasse 43 Einbeck 37574,3990972.0
A.S. Création Tapeten AG,Albert-Einstein-Str. 9 Wiehl 51674,3533948.0
ABB AG,Oberhausener Str. 33 Ratingen 40472,1666750.0
ABC Keramik H & R Berentelg GmbH & Co. KG,Industriesztraße 10 Westerkappeln-Velpe 49492,33000000.0
ABC Umformtechnik GmbH & Co. KG,Kölner Strasse 64 Gevelsberg 58285,1583266.0
ABO Kraft & Wärme Zülpich GmbH & Co. KG,Veilchenstraße 23 Zülpich 53909,5040000.0
AEG PS GmbH,Emil-Siepmann-Straße 32 Warstein 59581,3334306.0
AGC INTERPANE Architectural Glass Gmbh,Sohnreystrasse 21 Lauenförde 37697,1834000.0
AGRAVIS Kraftfutterwerke Rhein Main GmbH,Duisburgerstraße 16 Neuss 41460,3154854.0
ALANOD GmbH & Co. KG,Katzbachstr. 16 Ennepetal 58256,736108.0
ALMO-Erzeugnisse Erwin Busch GmbH,Grosse Allee 84 Bad Arolsen 34454,6875381.0
ALPHA Warenhandel GmbH & Co. KG,Speicherstraße 2 Bochum-Hofstede 44809,18228209.0
AMS Asphaltmischwerke Stolberg GmbH,Aachener Straße / B221 Geilenkirchen 52511,933914.0
AST Kunststoffverarbeitung GmbH,Mühlenweg Erndtebrück 57339,7835947.0
ATLANTIC GmbH,Gartenstraße 7-17 Bonn 53229,4739670.0
AVG Köln mbH,Tonstraße 6  Erftstadt 50374,2094710532.0
AWIGO Biomasse GmbH,Dammer Straße 79 Bohmte-Hunteburg 49163,4700000.0
Aachener Printen- und Schokoladenfabrik Henry Lambertz GmbH & Co.KG,Borchersstraße 18 Aachen 52072,3492318.0
Aalberts Surface Technologies GmbH,Boelckestr. 25-27 Kerpen 50171,1904162.0
Abbelen GmbH,Kempener Str. 22 Tönisvorst 47918,1605046.0
Abfallwirtschaftsgesellschaft des Kreises Warendorf mbH,Westring 10 Ennigerloh 59320,5273670.0
Acontex GmbH,In der Mark 2 Rheda-Wiedenbrück 33378,1887312.0
Agravis Kraftfutterwerk Oldenburg GmbH,Mühlenstr. 15 Höltinghausen 49685,3219896.0
Air Liquide Deutschland GmbH,Alte Heerstraße E65 Dormagen 41540,145716939.67000002
Airbus Helicopters Technik GmbH,Flupplatzstraße Calden 34379,693272.0
Akzo Nobel Hilden GmbH,Düsseldorfer Str. 96-100 Hilden 40721,10975734.0
Albert Hoffmann GmbH,Bergratherstr. 66 Eschweiler 52249,7654500.0
Albert Pielhau GmbH & Co. KG,Am Anschlag 4 Halver 58553,1625000.0
Aldi Einkauf SE & Co. oHG,Eckenbergstraße 16b Essen 45307,21260000.0
Alesco Folien GmbH & Co. KG,Schönthaler Str. 55-59 Langerwehe 52379,772500.0
Alpla Werke Lehner GmbH & Co. KG,Thomas Edison Straße 12 Baesweiler 52499,7136000.0
Alstom Transportation Germany GmbH,Siegstraße 27 Netphen 57250,370000.0
