PLZ_FirstTwo,Wärmemenge pro Jahr (in kWh/a)
10,42581258.0
11,87234710.81
12,371588081.0
13,203016062.7109
14,2470030664.461
15,2315625114.5699997
16,1277679018.375
17,825046106.0
18,2194223823.361
19,873070946.2171
20,662406481.0
21,1792657158.4805
22,706188829.266
23,598565816.677
24,405024801.3211
25,7518026190.0
26,2663770895.6
27,611585253.0
28,4805620092.113
29,18063703723.2
30,341370924.0
31,24878200833.995
32,1153210978.0
33,1001039662.6470001
34,836992122.321
35,1022620317.44
36,1750977707.0
37,1244404531.8569999
38,1853189732.2858
39,1585454346.0
40,1908796960.7182
41,1867802856.687
42,487283247.4698
43,21495923.0
44,1514472353.0
45,15026529043.01
46,1887729780.29
47,10021271426.5553
48,1385141608.0937
49,8430765092.803801
50,27063007942.9366
51,955042754.625
52,2530456929.0
53,588208191.3823
54,320851272.0
55,751176580.357
56,1414489921.25
57,498867486.5532
58,1489554500.45838
59,2772015297.105
60,1166866052.209
61,145296801.0
62,3346430994.0
63,1279392967.171
64,1992392092.4959
65,4715817596.0
66,4289891200.571
67,7580468409.0376005
68,5622713985.0
69,399351736.0
70,327102078.5968
71,378935054.1402
72,621257582.0
73,2282682637.9386
74,752130303.406
75,184335518.125
76,1031127791.4111
77,1983831580.3197002
78,346643213.875
79,892760872.76173
80,306446126.0
81,53708035.0
82,408551856.0
83,1003080377.996
84,3183439411.11315
85,997669674.972
86,2179941011.64
87,313910531.389
88,668185451.8
89,962949737.0
90,493069691.538
91,635579657.312
92,1273851401.6
93,1062615861.0
94,643910072.254
95,738440075.4219999
96,821847242.0
97,917917458.0
98,191730117.0
99,736304742.0
